file	keep	scene	location	case	target_channel	distance_m	seating	mic_position	nc	noise_dba	extra_recorders	target_text	user_text	notes
安静包间_我单说_基准_03_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	我单说	left	1.0	face	collar	off				我想点一个清炒时蔬和一碗米饭，再要一壶大麦茶。服务员刚才说今天的红烧肉已经卖完了。	
安静包间_交替说_基准_01_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	交替说	left	1.0	face	collar	off			你想喝点什么，要不要来一杯热豆浆？那我点两杯，再要一笼小笼包，八个的那种。没关系，吃不完我们打包带走。	好啊，我不要加糖。可以，我最近胃口一般，吃不了太多。	
安静包间_交替说_基准_02_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	交替说	left	1.0	face	collar	off			你还记得小刘吗，就是以前住在三楼的那个。对，他下个月结婚，婚礼定在二十号，在他老家办。我打算坐高铁去，大概三个半小时，你要去我帮你一起买票。	记得，他后来搬到南京去了。那我们要不要一起过去？	
安静包间_交替说_基准_03_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	交替说	left	1.0	face	collar	off			嗯，这个汤有点咸了。对，可能是我口味比较淡。你明天几点下班？那我们改到周五晚上七点吧，还是在这家店门口见。	是吗，我倒觉得还行。一般六点左右，不过明天可能要加班。	
安静包间_同时说_基准_01_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	同时说	left	1.0	face	collar	off			明天早上九点半在地铁站二号出口集合，记得带身份证，我们先去办手续，然后一起吃午饭。	我昨天晚上看了一部电影，讲的是一个老人开车穿越沙漠的故事，结尾有点伤感。	
安静包间_同时说_基准_02_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	同时说	left	1.0	face	collar	off			这个月的房租我已经转给房东了，一共三千二，水电费下周再算，你到时候把你那一半转给我。	我家楼下新开了一家面包店，每天早上七点开门，他们的全麦面包特别香。	
安静包间_同时说_基准_03_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	同时说	left	1.0	face	collar	off			妈妈说周末想来看看我们，大概星期六下午两点到，我去火车站接她，晚上一起在家吃饭。	公司楼下的停车场最近在修，我这几天都是骑共享单车上班的，反而觉得挺方便。	
安静包间_附和_基准_01_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	附和	left	1.0	face	collar	off			我跟你说，上周末我去看了一套房子，在地铁站附近，走路大概十分钟。房子是两室一厅，朝南，采光挺好的。就是楼层有点高，在十八楼，电梯早上要排队。价格比我预想的贵了一点，中介说还可以再谈。我打算这周六再去看一次，顺便问问物业费是多少。		
安静包间_打断_基准_01_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	打断	left	1.0	face	collar	off			我觉得我们下个月可以一起去成都玩几天，那边的火锅和哦，那就再往后推一推，十一月也行，那边天气也不冷，我们可以顺便去看看熊猫。	哎，下个月我可能要出差。	
安静包间_我大声_基准_01_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	我大声	left	1.0	face	collar	off			这个月的房租我已经转给房东了，一共三千二，水电费下周再算，你到时候把你那一半转给我。	我家楼下新开了一家面包店，每天早上七点开门，他们的全麦面包特别香。	
安静包间_对方小声_基准_01_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	对方小声	left	1.0	face	collar	off			我下周三要去杭州出差，大概待四天，周六晚上回来。你要是有空，周日中午我们可以约在西单见面，我请你吃饭。		
安静包间_对方转头_基准_01_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	对方转头	left	1.0	face	collar	off			张老师说那个报名表要在十五号之前交，需要贴一张两寸照片，还要写清楚联系电话。我明天顺路帮你一起交过去吧。		
安静包间_杂音_基准_01_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	杂音	left	1.0	face	collar	off					
安静包间_第三人_基准_01_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	第三人	left	1.0	face	collar	off					
安静包间_数字_基准_01_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	数字	left	1.0	face	collar	off			你记一下，他的电话是一三八，零零一二，三四五六。我们约的是十月十七号，星期五，下午三点二十。地址是朝阳区建国路八十八号，三单元，一零二室。定金交了五百，尾款还有两千三百八十块，月底之前付清就行。		
安静包间_长独白_基准_话题7_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	长独白	left	1.0	face	collar	off					
安静包间_自由聊天_基准_话题1_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	自由聊天	left	1.0	face	collar	off					
安静包间_对方单说_距离0.6米_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	对方单说	left	0.6	face	collar	off			这家店我上个月来过一次，他们的招牌是酸菜鱼，一份大概八十八块，两个人吃刚好。你要是不能吃辣，可以让他们做成微辣。		
安静包间_我单说_距离0.6米_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	我单说	left	0.6	face	collar	off				我觉得这里有点吵，刚才你说的那句话我没听清楚。能不能再说一遍，或者我们换到靠窗那边的位置坐。	
安静包间_交替说_距离0.6米_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	交替说	left	0.6	face	collar	off			你想喝点什么，要不要来一杯热豆浆？那我点两杯，再要一笼小笼包，八个的那种。没关系，吃不完我们打包带走。	好啊，我不要加糖。可以，我最近胃口一般，吃不了太多。	
安静包间_同时说_距离0.6米_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	同时说	left	0.6	face	collar	off			明天早上九点半在地铁站二号出口集合，记得带身份证，我们先去办手续，然后一起吃午饭。	我昨天晚上看了一部电影，讲的是一个老人开车穿越沙漠的故事，结尾有点伤感。	
安静包间_对方单说_距离1.5米_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	对方单说	left	1.5	face	collar	off			这家店我上个月来过一次，他们的招牌是酸菜鱼，一份大概八十八块，两个人吃刚好。你要是不能吃辣，可以让他们做成微辣。		
安静包间_我单说_距离1.5米_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	我单说	left	1.5	face	collar	off				我觉得这里有点吵，刚才你说的那句话我没听清楚。能不能再说一遍，或者我们换到靠窗那边的位置坐。	
安静包间_交替说_距离1.5米_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	交替说	left	1.5	face	collar	off			你想喝点什么，要不要来一杯热豆浆？那我点两杯，再要一笼小笼包，八个的那种。没关系，吃不完我们打包带走。	好啊，我不要加糖。可以，我最近胃口一般，吃不了太多。	
安静包间_同时说_距离1.5米_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	同时说	left	1.5	face	collar	off			明天早上九点半在地铁站二号出口集合，记得带身份证，我们先去办手续，然后一起吃午饭。	我昨天晚上看了一部电影，讲的是一个老人开车穿越沙漠的故事，结尾有点伤感。	
安静包间_对方单说_桌角坐_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	对方单说	left	1.0	corner	collar	off			这家店我上个月来过一次，他们的招牌是酸菜鱼，一份大概八十八块，两个人吃刚好。你要是不能吃辣，可以让他们做成微辣。		
安静包间_我单说_桌角坐_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	我单说	left	1.0	corner	collar	off				我觉得这里有点吵，刚才你说的那句话我没听清楚。能不能再说一遍，或者我们换到靠窗那边的位置坐。	
安静包间_交替说_桌角坐_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	交替说	left	1.0	corner	collar	off			你想喝点什么，要不要来一杯热豆浆？那我点两杯，再要一笼小笼包，八个的那种。没关系，吃不完我们打包带走。	好啊，我不要加糖。可以，我最近胃口一般，吃不了太多。	
安静包间_同时说_桌角坐_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	同时说	left	1.0	corner	collar	off			明天早上九点半在地铁站二号出口集合，记得带身份证，我们先去办手续，然后一起吃午饭。	我昨天晚上看了一部电影，讲的是一个老人开车穿越沙漠的故事，结尾有点伤感。	
安静包间_对方单说_并排坐_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	对方单说	left	1.0	side	collar	off			这家店我上个月来过一次，他们的招牌是酸菜鱼，一份大概八十八块，两个人吃刚好。你要是不能吃辣，可以让他们做成微辣。		
安静包间_我单说_并排坐_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	我单说	left	1.0	side	collar	off				我觉得这里有点吵，刚才你说的那句话我没听清楚。能不能再说一遍，或者我们换到靠窗那边的位置坐。	
安静包间_交替说_并排坐_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	交替说	left	1.0	side	collar	off			你想喝点什么，要不要来一杯热豆浆？那我点两杯，再要一笼小笼包，八个的那种。没关系，吃不完我们打包带走。	好啊，我不要加糖。可以，我最近胃口一般，吃不了太多。	
安静包间_同时说_并排坐_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	同时说	left	1.0	side	collar	off			明天早上九点半在地铁站二号出口集合，记得带身份证，我们先去办手续，然后一起吃午饭。	我昨天晚上看了一部电影，讲的是一个老人开车穿越沙漠的故事，结尾有点伤感。	
安静包间_对方单说_麦在胸口_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	对方单说	left	1.0	face	chest	off			这家店我上个月来过一次，他们的招牌是酸菜鱼，一份大概八十八块，两个人吃刚好。你要是不能吃辣，可以让他们做成微辣。		
安静包间_我单说_麦在胸口_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	我单说	left	1.0	face	chest	off				我觉得这里有点吵，刚才你说的那句话我没听清楚。能不能再说一遍，或者我们换到靠窗那边的位置坐。	
安静包间_交替说_麦在胸口_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	交替说	left	1.0	face	chest	off			你想喝点什么，要不要来一杯热豆浆？那我点两杯，再要一笼小笼包，八个的那种。没关系，吃不完我们打包带走。	好啊，我不要加糖。可以，我最近胃口一般，吃不了太多。	
安静包间_同时说_麦在胸口_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	同时说	left	1.0	face	chest	off			明天早上九点半在地铁站二号出口集合，记得带身份证，我们先去办手续，然后一起吃午饭。	我昨天晚上看了一部电影，讲的是一个老人开车穿越沙漠的故事，结尾有点伤感。	
安静包间_对方单说_麦被遮住_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	对方单说	left	1.0	face	covered	off			这家店我上个月来过一次，他们的招牌是酸菜鱼，一份大概八十八块，两个人吃刚好。你要是不能吃辣，可以让他们做成微辣。		
安静包间_我单说_麦被遮住_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	我单说	left	1.0	face	covered	off				我觉得这里有点吵，刚才你说的那句话我没听清楚。能不能再说一遍，或者我们换到靠窗那边的位置坐。	
安静包间_交替说_麦被遮住_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	交替说	left	1.0	face	covered	off			你想喝点什么，要不要来一杯热豆浆？那我点两杯，再要一笼小笼包，八个的那种。没关系，吃不完我们打包带走。	好啊，我不要加糖。可以，我最近胃口一般，吃不了太多。	
安静包间_同时说_麦被遮住_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	同时说	left	1.0	face	covered	off			明天早上九点半在地铁站二号出口集合，记得带身份证，我们先去办手续，然后一起吃午饭。	我昨天晚上看了一部电影，讲的是一个老人开车穿越沙漠的故事，结尾有点伤感。	
安静包间_我单说_我大声_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	我单说	left	1.0	face	collar	off				我觉得这里有点吵，刚才你说的那句话我没听清楚。能不能再说一遍，或者我们换到靠窗那边的位置坐。	B 偏大声
安静包间_交替说_我大声_01_第1遍.m4a		安静包间：几何与佩戴变化（每项 4 段）	安静包间	交替说	left	1.0	face	collar	off			你想喝点什么，要不要来一杯热豆浆？那我点两杯，再要一笼小笼包，八个的那种。没关系，吃不完我们打包带走。	好啊，我不要加糖。可以，我最近胃口一般，吃不了太多。	B 偏大声
包间放噪声_底噪_噪声65分贝_01_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	底噪	left	1.0	face	collar	off					音箱播放餐馆噪声约 65 dBA
包间放噪声_对方单说_噪声65分贝_01_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	对方单说	left	1.0	face	collar	off			这家店我上个月来过一次，他们的招牌是酸菜鱼，一份大概八十八块，两个人吃刚好。你要是不能吃辣，可以让他们做成微辣。		音箱播放餐馆噪声约 65 dBA
包间放噪声_对方单说_噪声65分贝_02_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	对方单说	left	1.0	face	collar	off			我下周三要去杭州出差，大概待四天，周六晚上回来。你要是有空，周日中午我们可以约在西单见面，我请你吃饭。		音箱播放餐馆噪声约 65 dBA
包间放噪声_对方单说_噪声65分贝_03_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	对方单说	left	1.0	face	collar	off			张老师说那个报名表要在十五号之前交，需要贴一张两寸照片，还要写清楚联系电话。我明天顺路帮你一起交过去吧。		音箱播放餐馆噪声约 65 dBA
包间放噪声_我单说_噪声65分贝_01_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	我单说	left	1.0	face	collar	off				我觉得这里有点吵，刚才你说的那句话我没听清楚。能不能再说一遍，或者我们换到靠窗那边的位置坐。	音箱播放餐馆噪声约 65 dBA
包间放噪声_我单说_噪声65分贝_02_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	我单说	left	1.0	face	collar	off				我今天上午去医院复查了，医生说恢复得还不错，下个月再去一次就行。最近睡得也比以前好多了。	音箱播放餐馆噪声约 65 dBA
包间放噪声_我单说_噪声65分贝_03_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	我单说	left	1.0	face	collar	off				我想点一个清炒时蔬和一碗米饭，再要一壶大麦茶。服务员刚才说今天的红烧肉已经卖完了。	音箱播放餐馆噪声约 65 dBA
包间放噪声_交替说_噪声65分贝_01_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	交替说	left	1.0	face	collar	off			你想喝点什么，要不要来一杯热豆浆？那我点两杯，再要一笼小笼包，八个的那种。没关系，吃不完我们打包带走。	好啊，我不要加糖。可以，我最近胃口一般，吃不了太多。	音箱播放餐馆噪声约 65 dBA
包间放噪声_交替说_噪声65分贝_02_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	交替说	left	1.0	face	collar	off			你还记得小刘吗，就是以前住在三楼的那个。对，他下个月结婚，婚礼定在二十号，在他老家办。我打算坐高铁去，大概三个半小时，你要去我帮你一起买票。	记得，他后来搬到南京去了。那我们要不要一起过去？	音箱播放餐馆噪声约 65 dBA
包间放噪声_交替说_噪声65分贝_03_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	交替说	left	1.0	face	collar	off			嗯，这个汤有点咸了。对，可能是我口味比较淡。你明天几点下班？那我们改到周五晚上七点吧，还是在这家店门口见。	是吗，我倒觉得还行。一般六点左右，不过明天可能要加班。	音箱播放餐馆噪声约 65 dBA
包间放噪声_同时说_噪声65分贝_01_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	同时说	left	1.0	face	collar	off			明天早上九点半在地铁站二号出口集合，记得带身份证，我们先去办手续，然后一起吃午饭。	我昨天晚上看了一部电影，讲的是一个老人开车穿越沙漠的故事，结尾有点伤感。	音箱播放餐馆噪声约 65 dBA
包间放噪声_同时说_噪声65分贝_02_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	同时说	left	1.0	face	collar	off			这个月的房租我已经转给房东了，一共三千二，水电费下周再算，你到时候把你那一半转给我。	我家楼下新开了一家面包店，每天早上七点开门，他们的全麦面包特别香。	音箱播放餐馆噪声约 65 dBA
包间放噪声_同时说_噪声65分贝_03_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	同时说	left	1.0	face	collar	off			妈妈说周末想来看看我们，大概星期六下午两点到，我去火车站接她，晚上一起在家吃饭。	公司楼下的停车场最近在修，我这几天都是骑共享单车上班的，反而觉得挺方便。	音箱播放餐馆噪声约 65 dBA
包间放噪声_底噪_噪声75分贝_01_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	底噪	left	1.0	face	collar	off					音箱播放餐馆噪声约 75 dBA
包间放噪声_对方单说_噪声75分贝_01_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	对方单说	left	1.0	face	collar	off			这家店我上个月来过一次，他们的招牌是酸菜鱼，一份大概八十八块，两个人吃刚好。你要是不能吃辣，可以让他们做成微辣。		音箱播放餐馆噪声约 75 dBA
包间放噪声_对方单说_噪声75分贝_02_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	对方单说	left	1.0	face	collar	off			我下周三要去杭州出差，大概待四天，周六晚上回来。你要是有空，周日中午我们可以约在西单见面，我请你吃饭。		音箱播放餐馆噪声约 75 dBA
包间放噪声_对方单说_噪声75分贝_03_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	对方单说	left	1.0	face	collar	off			张老师说那个报名表要在十五号之前交，需要贴一张两寸照片，还要写清楚联系电话。我明天顺路帮你一起交过去吧。		音箱播放餐馆噪声约 75 dBA
包间放噪声_我单说_噪声75分贝_01_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	我单说	left	1.0	face	collar	off				我觉得这里有点吵，刚才你说的那句话我没听清楚。能不能再说一遍，或者我们换到靠窗那边的位置坐。	音箱播放餐馆噪声约 75 dBA
包间放噪声_我单说_噪声75分贝_02_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	我单说	left	1.0	face	collar	off				我今天上午去医院复查了，医生说恢复得还不错，下个月再去一次就行。最近睡得也比以前好多了。	音箱播放餐馆噪声约 75 dBA
包间放噪声_我单说_噪声75分贝_03_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	我单说	left	1.0	face	collar	off				我想点一个清炒时蔬和一碗米饭，再要一壶大麦茶。服务员刚才说今天的红烧肉已经卖完了。	音箱播放餐馆噪声约 75 dBA
包间放噪声_交替说_噪声75分贝_01_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	交替说	left	1.0	face	collar	off			你想喝点什么，要不要来一杯热豆浆？那我点两杯，再要一笼小笼包，八个的那种。没关系，吃不完我们打包带走。	好啊，我不要加糖。可以，我最近胃口一般，吃不了太多。	音箱播放餐馆噪声约 75 dBA
包间放噪声_交替说_噪声75分贝_02_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	交替说	left	1.0	face	collar	off			你还记得小刘吗，就是以前住在三楼的那个。对，他下个月结婚，婚礼定在二十号，在他老家办。我打算坐高铁去，大概三个半小时，你要去我帮你一起买票。	记得，他后来搬到南京去了。那我们要不要一起过去？	音箱播放餐馆噪声约 75 dBA
包间放噪声_交替说_噪声75分贝_03_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	交替说	left	1.0	face	collar	off			嗯，这个汤有点咸了。对，可能是我口味比较淡。你明天几点下班？那我们改到周五晚上七点吧，还是在这家店门口见。	是吗，我倒觉得还行。一般六点左右，不过明天可能要加班。	音箱播放餐馆噪声约 75 dBA
包间放噪声_同时说_噪声75分贝_01_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	同时说	left	1.0	face	collar	off			明天早上九点半在地铁站二号出口集合，记得带身份证，我们先去办手续，然后一起吃午饭。	我昨天晚上看了一部电影，讲的是一个老人开车穿越沙漠的故事，结尾有点伤感。	音箱播放餐馆噪声约 75 dBA
包间放噪声_同时说_噪声75分贝_02_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	同时说	left	1.0	face	collar	off			这个月的房租我已经转给房东了，一共三千二，水电费下周再算，你到时候把你那一半转给我。	我家楼下新开了一家面包店，每天早上七点开门，他们的全麦面包特别香。	音箱播放餐馆噪声约 75 dBA
包间放噪声_同时说_噪声75分贝_03_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	同时说	left	1.0	face	collar	off			妈妈说周末想来看看我们，大概星期六下午两点到，我去火车站接她，晚上一起在家吃饭。	公司楼下的停车场最近在修，我这几天都是骑共享单车上班的，反而觉得挺方便。	音箱播放餐馆噪声约 75 dBA
包间放噪声_对方单说_噪声75分贝-降噪基础_01_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	对方单说	left	1.0	face	collar	basic			这家店我上个月来过一次，他们的招牌是酸菜鱼，一份大概八十八块，两个人吃刚好。你要是不能吃辣，可以让他们做成微辣。		音箱播放餐馆噪声约 75 dBA
包间放噪声_我单说_噪声75分贝-降噪基础_01_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	我单说	left	1.0	face	collar	basic				我觉得这里有点吵，刚才你说的那句话我没听清楚。能不能再说一遍，或者我们换到靠窗那边的位置坐。	音箱播放餐馆噪声约 75 dBA
包间放噪声_交替说_噪声75分贝-降噪基础_01_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	交替说	left	1.0	face	collar	basic			你想喝点什么，要不要来一杯热豆浆？那我点两杯，再要一笼小笼包，八个的那种。没关系，吃不完我们打包带走。	好啊，我不要加糖。可以，我最近胃口一般，吃不了太多。	音箱播放餐馆噪声约 75 dBA
包间放噪声_同时说_噪声75分贝-降噪基础_01_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	同时说	left	1.0	face	collar	basic			明天早上九点半在地铁站二号出口集合，记得带身份证，我们先去办手续，然后一起吃午饭。	我昨天晚上看了一部电影，讲的是一个老人开车穿越沙漠的故事，结尾有点伤感。	音箱播放餐馆噪声约 75 dBA
包间放噪声_对方单说_噪声75分贝-降噪强_01_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	对方单说	left	1.0	face	collar	strong			这家店我上个月来过一次，他们的招牌是酸菜鱼，一份大概八十八块，两个人吃刚好。你要是不能吃辣，可以让他们做成微辣。		音箱播放餐馆噪声约 75 dBA
包间放噪声_我单说_噪声75分贝-降噪强_01_第1遍.m4a		包间放噪声：同一个包间，音箱在 1.5–2 米外播放餐馆环境声	包间放噪声	我单说	left	1.0	face	collar	strong				我觉得这里有点吵，刚才你说的那句话我没听清楚。能不能再说一遍，或者我们换到靠窗那边的位置坐。	音箱播放餐馆噪声约 75 dBA
